frame_no,ip,domain
1,31.13.70.1,graph.facebook.com
2,31.13.70.1,graph.facebook.com
6,110.234.25.122,kminiapp.sentechkorea.com
22,110.234.25.122,kminiapp.sentechkorea.com
85,3.33.160.75,api.channel.io
85,15.197.175.58,api.channel.io
86,3.33.160.75,api.channel.io
86,15.197.175.58,api.channel.io
136,3.37.220.195,ws.channel.io
136,15.165.125.158,ws.channel.io
136,3.39.102.44,ws.channel.io
136,13.125.20.54,ws.channel.io
136,3.39.93.66,ws.channel.io
136,15.164.3.45,ws.channel.io
136,52.79.107.99,ws.channel.io
136,43.201.128.52,ws.channel.io
137,3.37.220.195,ws.channel.io
137,15.165.125.158,ws.channel.io
137,3.39.102.44,ws.channel.io
137,13.125.20.54,ws.channel.io
137,3.39.93.66,ws.channel.io
137,15.164.3.45,ws.channel.io
137,52.79.107.99,ws.channel.io
137,43.201.128.52,ws.channel.io
