frame_no,ip,domain
1,31.13.70.1,graph.facebook.com
2,31.13.70.1,graph.facebook.com
8,110.234.25.122,kminiapp.sentechkorea.com
19,110.234.25.122,kminiapp.sentechkorea.com
87,3.33.160.75,api.channel.io
87,15.197.175.58,api.channel.io
88,3.33.160.75,api.channel.io
88,15.197.175.58,api.channel.io
144,3.39.102.44,ws.channel.io
144,13.125.20.54,ws.channel.io
144,3.39.93.66,ws.channel.io
144,15.164.3.45,ws.channel.io
144,52.79.107.99,ws.channel.io
144,43.201.128.52,ws.channel.io
144,3.37.220.195,ws.channel.io
144,15.165.125.158,ws.channel.io
145,3.39.102.44,ws.channel.io
145,13.125.20.54,ws.channel.io
145,3.39.93.66,ws.channel.io
145,15.164.3.45,ws.channel.io
145,52.79.107.99,ws.channel.io
145,43.201.128.52,ws.channel.io
145,3.37.220.195,ws.channel.io
145,15.165.125.158,ws.channel.io
