frame_no,ip,domain
1,31.13.70.1,graph.facebook.com
2,31.13.70.1,graph.facebook.com
6,110.234.25.122,kminiapp.sentechkorea.com
18,110.234.25.122,kminiapp.sentechkorea.com
87,15.197.175.58,api.channel.io
87,3.33.160.75,api.channel.io
88,15.197.175.58,api.channel.io
88,3.33.160.75,api.channel.io
145,3.37.220.195,ws.channel.io
145,3.39.102.44,ws.channel.io
145,3.36.173.142,ws.channel.io
145,15.165.125.158,ws.channel.io
145,52.79.107.99,ws.channel.io
145,3.39.93.66,ws.channel.io
145,43.201.128.52,ws.channel.io
145,15.164.3.45,ws.channel.io
146,3.37.220.195,ws.channel.io
146,3.39.102.44,ws.channel.io
146,3.36.173.142,ws.channel.io
146,15.165.125.158,ws.channel.io
146,52.79.107.99,ws.channel.io
146,3.39.93.66,ws.channel.io
146,43.201.128.52,ws.channel.io
146,15.164.3.45,ws.channel.io
