frame_no,ip,domain
1,31.13.70.1,graph.facebook.com
2,31.13.70.1,graph.facebook.com
6,110.234.25.122,kminiapp.sentechkorea.com
7,110.234.25.122,kminiapp.sentechkorea.com
83,3.33.160.75,api.channel.io
83,15.197.175.58,api.channel.io
84,3.33.160.75,api.channel.io
84,15.197.175.58,api.channel.io
147,3.39.102.44,ws.channel.io
147,3.36.173.142,ws.channel.io
147,15.165.125.158,ws.channel.io
147,52.79.107.99,ws.channel.io
147,3.39.93.66,ws.channel.io
147,43.201.128.52,ws.channel.io
147,15.164.3.45,ws.channel.io
147,3.37.220.195,ws.channel.io
148,3.39.102.44,ws.channel.io
148,3.36.173.142,ws.channel.io
148,15.165.125.158,ws.channel.io
148,52.79.107.99,ws.channel.io
148,3.39.93.66,ws.channel.io
148,43.201.128.52,ws.channel.io
148,15.164.3.45,ws.channel.io
148,3.37.220.195,ws.channel.io
