frame_no,ip,domain
1,31.13.70.1,graph.facebook.com
2,31.13.70.1,graph.facebook.com
21,110.234.25.122,kminiapp.sentechkorea.com
26,110.234.25.122,kminiapp.sentechkorea.com
81,15.197.175.58,api.channel.io
81,3.33.160.75,api.channel.io
82,15.197.175.58,api.channel.io
82,3.33.160.75,api.channel.io
128,3.37.220.195,ws.channel.io
128,15.164.3.45,ws.channel.io
128,43.201.128.52,ws.channel.io
128,3.39.93.66,ws.channel.io
128,52.79.107.99,ws.channel.io
128,15.165.125.158,ws.channel.io
128,3.36.173.142,ws.channel.io
128,3.39.102.44,ws.channel.io
130,3.37.220.195,ws.channel.io
130,15.164.3.45,ws.channel.io
130,43.201.128.52,ws.channel.io
130,3.39.93.66,ws.channel.io
130,52.79.107.99,ws.channel.io
130,15.165.125.158,ws.channel.io
130,3.36.173.142,ws.channel.io
130,3.39.102.44,ws.channel.io
