frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,17,,Unknown
3,17,,Unknown
4,6,443,Encrypted
5,6,47846,Unknown
6,6,443,Encrypted
7,6,443,Encrypted
8,6,443,Encrypted
9,6,47846,Unknown
10,17,,Unknown
11,6,443,Encrypted
12,6,443,Encrypted
13,6,443,Encrypted
14,6,443,Encrypted
15,6,443,Encrypted
16,6,47846,Unknown
17,6,42626,Unknown
18,6,443,Encrypted
19,6,443,Encrypted
20,6,443,Encrypted
21,6,443,Encrypted
22,6,443,Encrypted
23,6,443,Encrypted
24,6,47846,Unknown
25,6,42626,Unknown
26,6,42628,Unknown
27,6,443,Encrypted
28,6,443,Encrypted
29,6,443,Encrypted
30,6,42628,Unknown
31,6,42630,Unknown
32,6,42632,Unknown
33,6,443,Encrypted
34,6,443,Encrypted
35,6,443,Encrypted
36,6,443,Encrypted
37,6,443,Encrypted
38,6,443,Encrypted
39,6,42630,Unknown
40,6,42632,Unknown
41,6,42634,Unknown
42,6,443,Encrypted
43,6,443,Encrypted
44,6,443,Encrypted
45,6,42634,Unknown
46,6,47846,Unknown
47,6,47846,Unknown
48,6,443,Encrypted
49,6,443,Encrypted
50,6,47846,Unknown
51,6,42626,Unknown
52,6,443,Encrypted
53,6,42628,Unknown
54,6,443,Encrypted
55,6,443,Encrypted
56,6,42626,Unknown
57,6,42632,Unknown
58,6,443,Encrypted
59,6,443,Encrypted
60,6,42626,Unknown
61,6,443,Encrypted
62,6,42626,Unknown
63,6,42634,Unknown
64,6,443,Encrypted
65,6,42634,Unknown
66,6,443,Encrypted
67,6,42630,Unknown
68,6,443,Encrypted
69,6,443,Encrypted
70,6,443,Encrypted
71,6,42634,Unknown
72,6,443,Encrypted
73,6,443,Encrypted
74,6,443,Encrypted
75,6,443,Encrypted
76,6,42632,Unknown
77,6,42626,Unknown
78,6,42628,Unknown
79,6,42632,Unknown
80,6,42634,Unknown
81,6,443,Encrypted
82,6,42626,Unknown
83,6,42628,Unknown
84,6,443,Encrypted
85,6,443,Encrypted
86,6,42626,Unknown
87,6,42628,Unknown
88,6,443,Encrypted
89,6,42628,Unknown
90,6,443,Encrypted
91,6,443,Encrypted
92,6,443,Encrypted
93,6,42630,Unknown
94,6,42626,Unknown
95,6,42630,Unknown
96,6,443,Encrypted
97,6,42626,Unknown
98,6,42626,Unknown
99,6,42628,Unknown
100,6,443,Encrypted
101,6,42628,Unknown
102,6,443,Encrypted
103,17,,Unknown
104,17,,Unknown
105,6,47846,Unknown
106,6,42626,Unknown
107,6,443,Encrypted
108,6,443,Encrypted
109,6,47846,Unknown
110,6,443,Encrypted
111,6,443,Encrypted
112,6,443,Encrypted
113,6,47846,Unknown
114,6,47846,Unknown
115,6,443,Encrypted
116,6,42626,Unknown
117,6,42626,Unknown
118,6,443,Encrypted
119,6,42626,Unknown
120,6,443,Encrypted
121,6,42626,Unknown
122,6,443,Encrypted
123,6,443,Encrypted
124,6,42626,Unknown
125,6,42626,Unknown
126,6,42626,Unknown
127,6,443,Encrypted
128,6,443,Encrypted
129,6,42626,Unknown
130,6,42626,Unknown
131,6,443,Encrypted
132,6,42626,Unknown
