packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,72,dns,46379,53,10.215.173.1,10.215.173.2,inbound
2,69,dns,2233,53,10.215.173.1,10.215.173.2,inbound
3,163,dns,53,46379,10.215.173.2,10.215.173.1,inbound
4,60,tcp,42242,443,10.215.173.1,104.16.65.50,inbound
5,60,tcp,42240,443,10.215.173.1,104.16.65.50,inbound
6,60,tcp,42244,443,10.215.173.1,104.16.65.50,inbound
7,60,tcp,42248,443,10.215.173.1,104.16.65.50,inbound
8,245,dns,53,2233,10.215.173.2,10.215.173.1,inbound
9,48,tcp,443,42242,104.16.65.50,10.215.173.1,inbound
10,40,tcp,42242,443,10.215.173.1,104.16.65.50,inbound
11,552,tls,42242,443,10.215.173.1,104.16.65.50,inbound
12,45,tls,42242,443,10.215.173.1,104.16.65.50,inbound
13,40,tcp,443,42242,104.16.65.50,10.215.173.1,inbound
14,48,tcp,443,42240,104.16.65.50,10.215.173.1,inbound
15,40,tcp,42240,443,10.215.173.1,104.16.65.50,inbound
16,552,tls,42240,443,10.215.173.1,104.16.65.50,inbound
17,45,tls,42240,443,10.215.173.1,104.16.65.50,inbound
18,60,tcp,47480,443,10.215.173.1,142.250.191.42,outbound
19,40,tcp,443,42240,104.16.65.50,10.215.173.1,inbound
20,48,tcp,443,42244,104.16.65.50,10.215.173.1,inbound
21,40,tcp,42244,443,10.215.173.1,104.16.65.50,inbound
22,552,tls,42244,443,10.215.173.1,104.16.65.50,inbound
23,45,tls,42244,443,10.215.173.1,104.16.65.50,inbound
24,40,tcp,443,42244,104.16.65.50,10.215.173.1,inbound
25,48,tcp,443,42248,104.16.65.50,10.215.173.1,inbound
26,40,tcp,42248,443,10.215.173.1,104.16.65.50,inbound
27,552,tls,42248,443,10.215.173.1,104.16.65.50,inbound
28,45,tls,42248,443,10.215.173.1,104.16.65.50,inbound
29,40,tcp,443,42248,104.16.65.50,10.215.173.1,inbound
30,48,tcp,443,47480,142.250.191.42,10.215.173.1,inbound
31,40,tcp,47480,443,10.215.173.1,142.250.191.42,outbound
