frame_no,ip,domain
1,20.109.35.196,mymedicalguardian.com
2,20.109.35.196,mymedicalguardian.com
48,3.18.79.247,ws-us2.pusher.com
48,3.140.39.80,ws-us2.pusher.com
48,3.16.93.113,ws-us2.pusher.com
48,18.224.247.9,ws-us2.pusher.com
48,18.216.126.12,ws-us2.pusher.com
48,13.59.212.206,ws-us2.pusher.com
48,3.20.21.231,ws-us2.pusher.com
48,3.136.24.113,ws-us2.pusher.com
49,3.18.79.247,ws-us2.pusher.com
49,3.140.39.80,ws-us2.pusher.com
49,3.16.93.113,ws-us2.pusher.com
49,18.224.247.9,ws-us2.pusher.com
49,18.216.126.12,ws-us2.pusher.com
49,13.59.212.206,ws-us2.pusher.com
49,3.20.21.231,ws-us2.pusher.com
49,3.136.24.113,ws-us2.pusher.com
103,142.251.46.174,clients4.google.com
104,142.251.46.174,clients4.google.com
