packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,60,tcp,48264,853,192.168.1.122,10.215.173.2,inbound
2,60,tcp,49464,443,10.215.173.1,44.230.82.63,outbound
3,60,tcp,49474,443,10.215.173.1,44.230.82.63,outbound
4,60,tcp,47684,443,10.215.173.1,59.82.113.90,outbound
5,59,dns,52219,53,10.215.173.1,10.215.173.2,inbound
6,107,dns,53,52219,10.215.173.2,10.215.173.1,inbound
7,60,tcp,49732,8883,10.215.173.1,44.241.48.186,outbound
8,48,tcp,443,49464,44.230.82.63,10.215.173.1,inbound
9,40,tcp,49464,443,10.215.173.1,44.230.82.63,outbound
10,557,tls,49464,443,10.215.173.1,44.230.82.63,outbound
11,40,tcp,443,49464,44.230.82.63,10.215.173.1,inbound
12,48,tcp,443,49474,44.230.82.63,10.215.173.1,inbound
13,40,tcp,49474,443,10.215.173.1,44.230.82.63,outbound
14,557,tls,49474,443,10.215.173.1,44.230.82.63,outbound
15,40,tcp,443,49474,44.230.82.63,10.215.173.1,inbound
16,48,tcp,8883,49732,44.241.48.186,10.215.173.1,inbound
17,40,tcp,49732,8883,10.215.173.1,44.241.48.186,outbound
18,295,tls,49732,8883,10.215.173.1,44.241.48.186,outbound
19,40,tcp,8883,49732,44.241.48.186,10.215.173.1,inbound
20,196,tls,443,49464,44.230.82.63,10.215.173.1,inbound
21,40,tcp,49464,443,10.215.173.1,44.230.82.63,outbound
22,91,tls,49464,443,10.215.173.1,44.230.82.63,outbound
23,40,tcp,443,49464,44.230.82.63,10.215.173.1,inbound
24,179,tls,49464,443,10.215.173.1,44.230.82.63,outbound
25,40,tcp,443,49464,44.230.82.63,10.215.173.1,inbound
26,774,tls,49464,443,10.215.173.1,44.230.82.63,outbound
27,40,tcp,443,49464,44.230.82.63,10.215.173.1,inbound
28,196,tls,443,49474,44.230.82.63,10.215.173.1,inbound
29,40,tcp,49474,443,10.215.173.1,44.230.82.63,outbound
30,91,tls,49474,443,10.215.173.1,44.230.82.63,outbound
31,40,tcp,443,49474,44.230.82.63,10.215.173.1,inbound
32,93,tls,49474,443,10.215.173.1,44.230.82.63,outbound
33,40,tcp,443,49474,44.230.82.63,10.215.173.1,inbound
34,84,tls,49474,443,10.215.173.1,44.230.82.63,outbound
