frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,17,,Unknown
3,6,443,Encrypted
4,6,59488,Unknown
5,6,443,Encrypted
6,6,443,Encrypted
7,6,443,Encrypted
8,6,59488,Unknown
9,6,59488,Unknown
10,6,443,Encrypted
11,6,443,Encrypted
12,6,59488,Unknown
13,6,59488,Unknown
14,6,443,Encrypted
15,6,59488,Unknown
16,6,59488,Unknown
17,6,443,Encrypted
18,6,59488,Unknown
19,6,59488,Unknown
20,6,443,Encrypted
21,6,59488,Unknown
22,6,59488,Unknown
23,6,443,Encrypted
24,6,59488,Unknown
25,6,443,Encrypted
26,6,47768,Unknown
27,6,443,Encrypted
28,6,443,Encrypted
29,6,47768,Unknown
30,6,443,Encrypted
31,6,47768,Unknown
32,6,47768,Unknown
33,6,443,Encrypted
34,6,443,Encrypted
35,6,47768,Unknown
36,6,443,Encrypted
37,6,47768,Unknown
38,6,47768,Unknown
39,6,47768,Unknown
40,6,443,Encrypted
41,6,443,Encrypted
42,6,47768,Unknown
43,6,59488,Unknown
44,6,443,Encrypted
45,6,47768,Unknown
46,6,443,Encrypted
47,17,,Unknown
48,17,,Unknown
49,6,443,Encrypted
50,6,443,Encrypted
51,6,37690,Unknown
52,6,443,Encrypted
53,6,37692,Unknown
54,6,443,Encrypted
55,6,443,Encrypted
56,6,443,Encrypted
57,6,443,Encrypted
58,6,443,Encrypted
59,6,37690,Unknown
60,6,37692,Unknown
61,6,37692,Unknown
62,6,443,Encrypted
63,6,443,Encrypted
64,6,37690,Unknown
65,6,37692,Unknown
66,6,443,Encrypted
67,6,443,Encrypted
68,6,37692,Unknown
69,6,443,Encrypted
70,6,37690,Unknown
71,6,443,Encrypted
72,6,37690,Unknown
73,6,37692,Unknown
74,6,37690,Unknown
75,6,443,Encrypted
76,6,443,Encrypted
77,6,37690,Unknown
78,6,37692,Unknown
79,6,443,Encrypted
80,6,443,Encrypted
81,6,443,Encrypted
82,6,37698,Unknown
83,6,443,Encrypted
84,6,443,Encrypted
85,6,443,Encrypted
86,6,37698,Unknown
87,6,37698,Unknown
88,6,443,Encrypted
89,6,443,Encrypted
90,6,37698,Unknown
91,6,443,Encrypted
92,6,37698,Unknown
93,6,37698,Unknown
94,6,37698,Unknown
95,6,443,Encrypted
96,6,37698,Unknown
97,6,37698,Unknown
98,6,443,Encrypted
99,6,37698,Unknown
100,6,37698,Unknown
101,6,443,Encrypted
102,6,37698,Unknown
103,6,37698,Unknown
104,6,443,Encrypted
105,6,37698,Unknown
106,6,37698,Unknown
107,6,443,Encrypted
108,6,37698,Unknown
109,6,443,Encrypted
110,6,443,Encrypted
111,6,37698,Unknown
112,6,37698,Unknown
113,6,443,Encrypted
114,6,443,Encrypted
